"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000110,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1043-1,69,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48959868,126.4765015,2021-08-18
405-2-000111,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1282-1,92,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.486368,126.4777201,2021-08-18
405-2-000112,종남 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2512-1,60,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48415383,126.4714216,2021-08-18
405-2-000113,웅전 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2517-1,62,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48250047,126.4718702,2021-08-18
405-2-000114,노형 정존,공영,노외,,제주특별자치도 제주시 노형동 2612-2,161,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,,,2021-08-18
405-2-000115,수덕 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2534-3,48,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48386668,126.4744607,2021-08-18
405-2-000116,서가름 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2575-1,40,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,무료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49062142,126.4731588,2021-08-18
405-2-000117,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 2580-1,46,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.4889675,126.4750277,2021-08-18
405-2-000118,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 2589-1,28,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48356077,126.4701194,2021-08-18
405-2-000119,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 2595-7,32,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48194109,126.471837,2021-08-18
405-2-000120,건입동 무료 주차장,공영,노외,,제주특별자치도 제주시 건입동 697-1,70,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51542803,126.5424581,2021-08-18
405-2-000121,건입동 무료 주차장,공영,노외,,제주특별자치도 제주시 건입동 1189-1,7,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51532136,126.5311262,2021-08-18
405-2-000122,건입동 무료 주차장,공영,노외,,제주특별자치도 제주시 건입동 1042-2,18,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51628294,126.5354368,2021-08-18
405-2-000123,이호동 무료 주차장,공영,노외,,제주특별자치도 제주시 이호일동 1788-6,35,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49752892,126.449582,2021-08-18
405-2-000124,이호동 무료 주차장,공영,노외,,제주특별자치도 제주시 이호일동 1665-11,750,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49707009,126.4522666,2021-08-18
405-2-000125,화북동 무료 주차장,공영,노외,,제주특별자치도 제주시 화북일동 11-7,47,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51978258,126.5734602,2021-08-18
405-2-000126,화북동 무료 주차장,공영,노외,,제주특별자치도 제주시 화북일동 14-1,15,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51793512,126.5766657,2021-08-18
405-2-000127,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 291-21,9,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49046625,126.4951335,2021-08-18
